OpportunityType,State,Industry,OfftakerSector,Fund,IRR,EPC,Size
M&A,CA,Government,Industrial/Manufacturing,Nova I,0.203,2.7,599.39
M&A,CA,Technology,Industrial/Manufacturing,Nova I,0.207,2.32,623.81
M&A,CA,Education,MUSH/Non-Profit,Janus I,0.2,2.69,217.0
RFP,NJ,Energy,MUSH/Non-Profit,Janus I,0.224,0.15,28.8
Non-RFP,MD,Recreation,Military,Solar Mission I,0.154,2.48,358.54
M&A,CA,Energy,Commercial/Consumer Brands,Sunbird I,0.22,2.73,3021.74
M&A,OH,Agriculture,Military,Phoenix I,0.164,1.88,1008.7
M&A,CT,Agriculture,Military,Phoenix I,0.162,1.55,280.8
M&A,CT,Agriculture,Military,Phoenix I,0.163,1.45,279.24
M&A,NJ,Technology,Industrial/Manufacturing,Phoenix I,0.205,2.34,312.12
M&A,CA,Energy,Commercial/Consumer Brands,Sunbird I,0.217,1.51,859.56
M&A,CA,Energy,Commercial/Consumer Brands,Sunbird I,0.216,1.51,807.3
M&A,AZ,Recreation,Military,Obsidian II,0.125,5.22,75.6
M&A,AZ,Recreation,Military,Nova I,0.144,3.63,653.4
M&A,MD,Agriculture,Military,Sunbird I,0.161,2.41,1318.24
M&A,AZ,Recreation,Military,Obsidian II,0.15,2.66,140.4
M&A,CA,Electronics,Commercial/Consumer Brands,Nova I,0.238,1.64,4087.58
M&A,NY,Energy,Commercial/Consumer Brands,Sunbird I,0.211,2.17,999.1
M&A,MA,Electronics,Commercial/Consumer Brands,Nova I,0.226,2.32,3355.92
M&A,IL,Energy,Commercial/Consumer Brands,Phoenix I,0.212,1.64,7434.0
M&A,MD,Agriculture,Military,Sunbird I,0.164,1.74,803.645
M&A,MD,Agriculture,Military,Sunbird I,0.167,1.73,1204.74
M&A,CA,Technology,Industrial/Manufacturing,Nova I,0.209,2.05,515.08
M&A,IL,Government,Industrial/Manufacturing,Phoenix I,0.2,1.69,5757.13
M&A,AZ,Recreation,Military,Sunbird I,0.151,2.67,300.78
M&A,AZ,Recreation,Military,Obsidian II,0.144,3.17,29.16
M&A,NY,Energy,Commercial/Consumer Brands,Obsidian II,0.237,2.55,5186.2
Onyx as Original Owner,KS,Agriculture,Military,Nova I,0.16,2.58,1375.92
M&A,MA,Energy,Commercial/Consumer Brands,Nova I,0.22,2.59,2875.42
M&A,AZ,Recreation,Military,Sunbird I,0.147,3.21,458.98
M&A,AZ,Recreation,Military,Obsidian II,0.153,2.46,315.36
M&A,AZ,Recreation,Military,Obsidian II,0.143,3.38,128.52
M&A,AZ,Construction,Military,Obsidian II,0.155,2.32,343.44
M&A,AZ,Recreation,Military,Obsidian II,0.142,3.37,29.16
Onyx as Original Owner,HI,Recreation,Military,Obsidian II,0.104,7.66,518.75
M&A,AZ,Recreation,Military,Obsidian II,0.144,3.32,177.12
M&A,CA,Energy,Commercial/Consumer Brands,Phoenix I,0.21,1.9,418.0
M&A,CA,Energy,Commercial/Consumer Brands,Phoenix I,0.212,1.74,470.9
M&A,CA,Energy,Commercial/Consumer Brands,Phoenix I,0.21,1.94,540.64
M&A,AZ,Recreation,Military,Obsidian II,0.148,2.89,141.48
M&A,AZ,Recreation,Military,Obsidian II,0.141,3.6,73.44
M&A,AZ,Construction,Military,Obsidian II,0.155,2.51,568.62
